user_id,news_id,action,rating
user1,A22F8CCDD1E49ADC580862AA628391F5,not_interested,
user1,56E6C7BB11876B6737032E9FA205B7CE,rated,1.0
user1,9AF6B02C5487AD5D77F59AE8ECB24FAC,rated,1.0
user1,9AF6B02C5487AD5D77F59AE8ECB24FAC,rated,3.0
user1,9AF6B02C5487AD5D77F59AE8ECB24FAC,rated,4.0
user1,9AF6B02C5487AD5D77F59AE8ECB24FAC,rated,5.0
user2,A22F8CCDD1E49ADC580862AA628391F5,rated,1.0
user2,A22F8CCDD1E49ADC580862AA628391F5,rated,4.0
user2,A22F8CCDD1E49ADC580862AA628391F5,rated,5.0
user2,A22F8CCDD1E49ADC580862AA628391F5,rated,5.0
user2,CFF8985EB9D47468CC4D409C48A808C7,rated,1.0
user2,CFF8985EB9D47468CC4D409C48A808C7,rated,5.0
user2,CFF8985EB9D47468CC4D409C48A808C7,rated,5.0
user1,9AF6B02C5487AD5D77F59AE8ECB24FAC,rated,1.0
user1,9AF6B02C5487AD5D77F59AE8ECB24FAC,rated,1.0
user1,1C66D7CABC628114FD2FDB67A5F08FF7,rated,1.0
user1,1C66D7CABC628114FD2FDB67A5F08FF7,rated,4.0
user1,1C66D7CABC628114FD2FDB67A5F08FF7,rated,3.0
user1,1C66D7CABC628114FD2FDB67A5F08FF7,rated,4.0
user1,1C66D7CABC628114FD2FDB67A5F08FF7,rated,4.0
user1,4E2537707CCF69E77883E05256EDF330,rated,1.0
user1,FB5422701DB1BD823360C9B333398048,rated,1.0
user1,FB5422701DB1BD823360C9B333398048,rated,3.0
user1,FB5422701DB1BD823360C9B333398048,rated,4.0
user1,FB5422701DB1BD823360C9B333398048,rated,4.0
user1,BE863AAD54363AB8D350DCD13A2154EA,rated,1.0
user1,30E38CCBB507A57E85D1B6618A4AD143,rated,1.0
user1,30E38CCBB507A57E85D1B6618A4AD143,rated,4.0
user1,30E38CCBB507A57E85D1B6618A4AD143,rated,5.0
user1,30E38CCBB507A57E85D1B6618A4AD143,rated,5.0
user1,30E38CCBB507A57E85D1B6618A4AD143,not_interested,
